-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2020 in LST
Location: Latitude  33.4484   Longitude -112.074 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 494.49 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M                 MERRA-2 Wind Direction at 50 Meters (Degrees) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,WS50M,WD50M,T2M
2020,1,1,0,0.0,7.27,51.1,4.35
2020,1,1,1,0.0,7.16,57.5,3.93
2020,1,1,2,0.0,7.32,62.9,3.61
2020,1,1,3,0.0,7.3,67.8,3.36
2020,1,1,4,0.0,6.99,69.4,3.14
2020,1,1,5,0.0,6.55,73.9,2.98
2020,1,1,6,0.0,6.31,84.7,2.82
2020,1,1,7,5.55,5.27,83.6,2.87
2020,1,1,8,122.7,4.52,83.5,6.02
2020,1,1,9,291.48,3.1,106.7,9.6
2020,1,1,10,423.77,2.15,148.3,12.14
2020,1,1,11,514.53,1.05,222.3,14.04
2020,1,1,12,564.55,2.21,271.0,15.41
2020,1,1,13,528.67,2.29,270.5,15.93
2020,1,1,14,430.23,2.89,255.0,15.93
2020,1,1,15,287.38,4.16,243.0,15.13
2020,1,1,16,127.55,3.59,257.6,12.81
2020,1,1,17,8.9,3.3,301.2,10.13
2020,1,1,18,0.0,2.44,300.8,9.71
2020,1,1,19,0.0,1.63,250.2,9.81
2020,1,1,20,0.0,2.21,214.1,9.09
2020,1,1,21,0.0,2.61,211.9,8.06
2020,1,1,22,0.0,2.53,229.5,7.62
2020,1,1,23,0.0,1.91,258.8,7.52
2020,1,2,0,0.0,1.05,274.4,7.57
2020,1,2,1,0.0,0.46,261.2,7.06
2020,1,2,2,0.0,0.63,221.8,6.49
2020,1,2,3,0.0,1.39,214.1,5.38
2020,1,2,4,0.0,1.72,220.7,4.66
2020,1,2,5,0.0,1.56,226.8,4.39
2020,1,2,6,0.0,0.98,237.1,4.43
2020,1,2,7,5.93,0.52,331.5,3.99
2020,1,2,8,133.93,0.99,45.0,5.6
2020,1,2,9,317.75,2.02,44.6,8.39
2020,1,2,10,469.38,4.25,41.4,11.47
2020,1,2,11,507.71,4.24,36.0,13.76
2020,1,2,12,606.95,3.54,16.1,15.35
2020,1,2,13,579.62,3.38,354.6,16.24
2020,1,2,14,489.85,3.7,339.1,16.6
2020,1,2,15,339.45,3.88,323.6,16.37
2020,1,2,16,154.62,3.82,298.1,13.78
2020,1,2,17,11.57,4.33,283.2,10.27
2020,1,2,18,0.0,4.26,287.5,9.27
2020,1,2,19,0.0,3.68,299.5,8.9
2020,1,2,20,0.0,2.47,332.8,8.7
2020,1,2,21,0.0,2.62,31.8,7.59
2020,1,2,22,0.0,3.92,58.3,6.37
2020,1,2,23,0.0,5.23,66.1,5.34
2020,1,3,0,0.0,6.32,67.7,4.28
2020,1,3,1,0.0,6.91,66.2,3.45
2020,1,3,2,0.0,6.67,63.5,2.9
2020,1,3,3,0.0,5.96,61.3,2.47
2020,1,3,4,0.0,5.35,58.8,2.15
2020,1,3,5,0.0,4.92,54.9,1.97
2020,1,3,6,0.0,4.56,49.8,1.96
2020,1,3,7,5.9,4.23,46.5,2.1
2020,1,3,8,130.93,4.27,43.1,4.87
2020,1,3,9,308.52,3.94,49.8,8.31
2020,1,3,10,455.65,3.98,63.6,11.33
2020,1,3,11,540.72,2.83,71.1,13.77
2020,1,3,12,557.22,1.1,45.0,16.0
2020,1,3,13,558.55,1.09,312.0,17.54
2020,1,3,14,464.9,1.37,293.2,17.9
2020,1,3,15,327.35,1.33,269.1,17.61
2020,1,3,16,149.73,2.42,237.2,15.12
2020,1,3,17,11.52,2.94,237.5,12.09
2020,1,3,18,0.0,2.1,253.4,11.76
2020,1,3,19,0.0,1.44,304.2,11.62
2020,1,3,20,0.0,2.17,347.5,10.42
2020,1,3,21,0.0,3.11,9.1,8.94
2020,1,3,22,0.0,4.21,26.5,7.22
2020,1,3,23,0.0,5.59,40.0,6.01
2020,1,4,0,0.0,6.88,49.9,5.14
2020,1,4,1,0.0,7.63,56.6,4.55
2020,1,4,2,0.0,7.83,61.6,4.11
2020,1,4,3,0.0,7.75,64.8,3.75
2020,1,4,4,0.0,7.58,65.4,3.5
2020,1,4,5,0.0,7.51,65.2,3.34
2020,1,4,6,0.0,7.55,65.6,3.26
2020,1,4,7,4.8,7.66,68.4,3.42
2020,1,4,8,115.78,7.37,71.5,6.9
2020,1,4,9,279.02,5.45,73.4,10.5
2020,1,4,10,436.92,4.3,91.7,14.09
2020,1,4,11,556.0,3.51,97.9,16.88
2020,1,4,12,603.25,2.7,100.7,18.83
2020,1,4,13,573.45,2.06,102.1,19.89
2020,1,4,14,483.08,1.57,104.4,20.28
2020,1,4,15,339.88,1.03,106.9,19.97
2020,1,4,16,159.93,0.13,175.6,18.37
2020,1,4,17,13.1,0.9,314.5,16.23
2020,1,4,18,0.0,1.94,344.2,14.26
2020,1,4,19,0.0,2.97,7.1,12.32
2020,1,4,20,0.0,3.88,27.8,10.59
2020,1,4,21,0.0,4.58,44.6,9.31
2020,1,4,22,0.0,5.09,58.0,8.4
2020,1,4,23,0.0,5.56,66.5,7.63
2020,1,5,0,0.0,5.91,71.7,7.03
2020,1,5,1,0.0,6.05,75.6,6.55
2020,1,5,2,0.0,6.0,77.4,6.12
2020,1,5,3,0.0,5.82,77.0,5.76
2020,1,5,4,0.0,5.54,75.5,5.49
2020,1,5,5,0.0,5.55,72.9,5.19
2020,1,5,6,0.0,5.76,71.8,4.84
2020,1,5,7,4.78,5.79,74.6,4.82
2020,1,5,8,119.22,5.57,78.3,8.01
2020,1,5,9,295.55,4.26,81.9,12.39
2020,1,5,10,444.05,3.35,101.0,15.45
2020,1,5,11,562.15,2.4,111.5,17.75
2020,1,5,12,600.1,1.09,116.1,19.57
2020,1,5,13,575.42,0.48,286.9,20.84
2020,1,5,14,478.67,1.57,296.4,21.21
2020,1,5,15,329.48,2.07,299.9,20.56
2020,1,5,16,155.25,2.52,288.3,17.64
2020,1,5,17,13.6,2.99,284.9,14.66
2020,1,5,18,0.0,3.33,292.4,13.12
2020,1,5,19,0.0,3.3,305.5,12.23
2020,1,5,20,0.0,3.11,319.2,11.65
2020,1,5,21,0.0,2.64,332.8,11.44
2020,1,5,22,0.0,2.21,354.3,11.09
2020,1,5,23,0.0,2.34,30.3,9.9
2020,1,6,0,0.0,3.46,51.6,7.95
2020,1,6,1,0.0,5.14,57.4,6.48
2020,1,6,2,0.0,6.4,58.1,5.58
2020,1,6,3,0.0,7.33,55.4,5.16
2020,1,6,4,0.0,8.03,52.6,4.94
2020,1,6,5,0.0,8.48,53.1,4.53
2020,1,6,6,0.0,8.67,55.0,4.16
2020,1,6,7,6.05,8.47,54.1,3.95
2020,1,6,8,138.0,7.62,51.7,7.07
2020,1,6,9,327.02,5.74,50.3,10.25
2020,1,6,10,483.12,6.65,57.0,13.78
2020,1,6,11,587.33,7.04,56.5,16.93
2020,1,6,12,626.83,6.66,53.0,18.99
2020,1,6,13,599.55,6.32,50.6,19.99
2020,1,6,14,508.38,5.82,47.0,20.24
2020,1,6,15,362.3,4.99,40.7,19.57
2020,1,6,16,176.93,4.61,32.0,15.89
2020,1,6,17,16.48,5.06,27.8,11.88
2020,1,6,18,0.0,5.66,28.7,10.01
2020,1,6,19,0.0,6.56,34.4,8.45
